InitShipPos : (360.0, 320.0, ori=1.57) | ShipDeck : (4, 3) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=1, y=0}, Sl{id=4, x=1, y=1}, Sl{id=5, x=1, y=2}, Sl{id=6, x=2, y=0}
[Oar(1,0), Oar(2,0), Oar(1,2), Oar(2,2), Rudder(3,1), Watch(0,1), Sail(1,1)] | [CP{pos=(300.0, 1800.0)}, CP{pos=(1900.0, 3800.0)}, CP{pos=(2000.0, 5240.0)}, CP{pos=(3600.0, 5160.0)}, CP{pos=(3300.0, 3
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
Ship(1975.1, 4225.6, ori=1.54) | CP{pos=(2000.0, 5240.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:2,T:OAR},{Si:0,T:USE_WATCH}]
